Class1;Class1.1;Class1.2;Class1.3;Class1
topGenes;topGenes;Weights;Weights;Weights
VISITA MES_75;VISITA MES_75;0.0;0.0;0.0
VISITA MES_76;VISITA MES_76;0.0;0.0;0.0
VISITA MES_77;VISITA MES_77;0.0;0.0;0.0
VISITA MES_78;VISITA MES_78;0.0;0.0;0.0
VISITA MES_79;VISITA MES_79;0.0;0.0;0.0
VISITA MES_80;VISITA MES_80;0.0;0.0;0.0
VISITA MES_81;VISITA MES_81;0.0;0.0;0.0
VISITA MES_82;VISITA MES_82;0.0;0.0;0.0
VISITA MES_83;VISITA MES_83;0.0;0.0;0.0
VISITA MES_84;VISITA MES_84;0.0;0.0;0.0
VISITA MES_85;VISITA MES_85;0.0;0.0;0.0
VISITA MES_86;VISITA MES_86;0.0;0.0;0.0
VISITA MES_87;VISITA MES_87;0.0;0.0;0.0
VISITA MES_88;VISITA MES_88;0.0;0.0;0.0
VISITA MES_89;VISITA MES_89;0.0;0.0;0.0
VISITA MES_90;VISITA MES_90;0.0;0.0;0.0
VISITA MES_91;VISITA MES_91;0.0;0.0;0.0
VISITA MES_92;VISITA MES_92;0.0;0.0;0.0
VISITA MES_93;VISITA MES_93;0.0;0.0;0.0
VISITA MES_94;VISITA MES_94;0.0;0.0;0.0
VISITA MES_95;VISITA MES_95;0.0;0.0;0.0
VISITA MES_96;VISITA MES_96;0.0;0.0;0.0
VISITA MES_97;VISITA MES_97;0.0;0.0;0.0
VISITA MES_98;VISITA MES_98;0.0;0.0;0.0
VISITA MES_99;VISITA MES_99;0.0;0.0;0.0
PROGRAMADA_0;PROGRAMADA_0;0.0;0.0;0.0
PROGRAMADA_1;PROGRAMADA_1;0.0;0.0;0.0
PROGRAMADA_2;PROGRAMADA_2;0.0;0.0;0.0
PROGRAMADA_3;PROGRAMADA_3;0.0;0.0;0.0
PROGRAMADA_4;PROGRAMADA_4;0.0;0.0;0.0
PROGRAMADA_5;PROGRAMADA_5;0.0;0.0;0.0
PROGRAMADA_6;PROGRAMADA_6;0.0;0.0;0.0
PROGRAMADA_7;PROGRAMADA_7;0.0;0.0;0.0
